La	F	dta	D50a	Fd	dsa	Source
32	4.097909763	11.28	0.328	5.570362993	3.84	DeyandSarkar2006
32	3.855176432	10.208	0.328	5.240411178	3.52	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.368666667	4.044327615	2.933333333	DeyandSarkar2006
33.33333333	2.580804227	9.066666667	0.368666667	3.308995322	2.266666667	DeyandSarkar2006
40	4.097909763	11.28	0.4424	4.796372007	3.28	DeyandSarkar2006
40	3.855176432	10.208	0.4424	4.512266348	2.96	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.368666667	4.044327615	3.2	DeyandSarkar2006
26.66666667	2.580804227	9.066666667	0.368666667	3.308995322	2.466666667	DeyandSarkar2006
32	4.097909763	11.28	0.4424	4.796372007	3.6	DeyandSarkar2006
32	3.855176432	10.208	0.4424	4.512266348	3.2	DeyandSarkar2006
33.33333333	3.154316278	9.933333333	0.053333333	10.633198	4.066666667	DeyandSarkar2006
33.33333333	3.154316278	9.266666667	0.053333333	10.633198	4.166666667	DeyandSarkar2006
33.33333333	3.154316278	8.673333333	0.053333333	10.633198	4.433333333	DeyandSarkar2006
33.33333333	3.154316278	7.986666667	0.053333333	10.633198	4.466666667	DeyandSarkar2006
33.33333333	3.154316278	12.06666667	0.053333333	10.633198	4.6	DeyandSarkar2006
33.33333333	2.580804227	10.1	0.053333333	8.699889275	3.433333333	DeyandSarkar2006
33.33333333	2.580804227	8.446666667	0.053333333	8.699889275	3.833333333	DeyandSarkar2006
33.33333333	2.580804227	7.72	0.053333333	8.699889275	4.2	DeyandSarkar2006
33.33333333	2.580804227	6.966666667	0.053333333	8.699889275	4	DeyandSarkar2006
33.33333333	2.580804227	11	0.053333333	8.699889275	3.733333333	DeyandSarkar2006
26.66666667	3.154316278	9.126666667	0.053333333	10.633198	4.633333333	DeyandSarkar2006
26.66666667	3.154316278	10.06666667	0.053333333	10.633198	4.133333333	DeyandSarkar2006
26.66666667	3.154316278	8.62	0.053333333	10.633198	4.626666667	DeyandSarkar2006
26.66666667	3.154316278	7.96	0.053333333	10.633198	4.8	DeyandSarkar2006
26.66666667	3.154316278	11.98	0.053333333	10.633198	5	DeyandSarkar2006
26.66666667	2.580804227	10.15333333	0.053333333	8.699889275	4	DeyandSarkar2006
26.66666667	2.580804227	8.386666667	0.053333333	8.699889275	3.966666667	DeyandSarkar2006
26.66666667	2.580804227	7.493333333	0.053333333	8.699889275	4	DeyandSarkar2006
26.66666667	2.580804227	11.15333333	0.053333333	8.699889275	3.933333333	DeyandSarkar2006
40	4.097909763	9.44	0.064	12.61044557	5.6	DeyandSarkar2006
40	4.097909763	11.84	0.064	12.61044557	5.32	DeyandSarkar2006
40	4.097909763	12.16	0.064	12.61044557	5.6	DeyandSarkar2006
40	4.097909763	13.52	0.064	12.61044557	5.76	DeyandSarkar2006
40	4.097909763	13.856	0.064	12.61044557	5.84	DeyandSarkar2006
40	3.855176432	9.848	0.064	11.86348537	5.52	DeyandSarkar2006
40	3.855176432	10.296	0.064	11.86348537	5.56	DeyandSarkar2006
40	3.855176432	12.976	0.064	11.86348537	5.12	DeyandSarkar2006
40	3.855176432	12.08	0.064	11.86348537	4.8	DeyandSarkar2006
40	3.855176432	13.76	0.064	11.86348537	5.2	DeyandSarkar2006
32	4.097909763	12.08	0.064	12.61044557	5.36	DeyandSarkar2006
32	4.097909763	9.784	0.064	12.61044557	6.24	DeyandSarkar2006
32	4.097909763	11.176	0.064	12.61044557	5.52	DeyandSarkar2006
32	4.097909763	13.544	0.064	12.61044557	6.4	DeyandSarkar2006
32	4.097909763	13.712	0.064	12.61044557	6.24	DeyandSarkar2006
32	3.855176432	10.368	0.064	11.86348537	5.84	DeyandSarkar2006
32	3.855176432	10.608	0.064	11.86348537	5.68	DeyandSarkar2006
32	3.855176432	12.904	0.064	11.86348537	5.72	DeyandSarkar2006
32	3.855176432	12.112	0.064	11.86348537	5.6	DeyandSarkar2006
32	3.855176432	13.496	0.064	11.86348537	5.88	DeyandSarkar2006
33.33333333	3.154316278	9.933333333	0.124	6.973525967	3.933333333	DeyandSarkar2006
33.33333333	3.154316278	9.266666667	0.124	6.973525967	3.613333333	DeyandSarkar2006
33.33333333	3.154316278	8.673333333	0.124	6.973525967	4.266666667	DeyandSarkar2006
33.33333333	3.154316278	7.986666667	0.124	6.973525967	3.533333333	DeyandSarkar2006
33.33333333	3.154316278	12.06666667	0.124	6.973525967	4.14	DeyandSarkar2006
33.33333333	2.580804227	10.1	0.124	5.705612155	3	DeyandSarkar2006
33.33333333	2.580804227	8.446666667	0.124	5.705612155	3.74	DeyandSarkar2006
33.33333333	2.580804227	7.72	0.124	5.705612155	3.666666667	DeyandSarkar2006
33.33333333	2.580804227	6.966666667	0.124	5.705612155	3.133333333	DeyandSarkar2006
33.33333333	2.580804227	11	0.124	5.705612155	3.933333333	DeyandSarkar2006
26.66666667	3.154316278	9.126666667	0.124	6.973525967	4.36	DeyandSarkar2006
26.66666667	3.154316278	10.06666667	0.124	6.973525967	3.766666667	DeyandSarkar2006
26.66666667	3.154316278	8.62	0.124	6.973525967	4	DeyandSarkar2006
26.66666667	3.154316278	7.96	0.124	6.973525967	4.333333333	DeyandSarkar2006
26.66666667	3.154316278	11.98	0.124	6.973525967	4.326666667	DeyandSarkar2006
26.66666667	2.580804227	10.15333333	0.124	5.705612155	3.586666667	DeyandSarkar2006
26.66666667	2.580804227	8.386666667	0.124	5.705612155	3.466666667	DeyandSarkar2006
26.66666667	2.580804227	7.493333333	0.124	5.705612155	3.666666667	DeyandSarkar2006
26.66666667	2.580804227	11.15333333	0.124	5.705612155	3.853333333	DeyandSarkar2006
40	4.097909763	9.44	0.1488	8.270256002	4.8	DeyandSarkar2006
40	4.097909763	11.84	0.1488	8.270256002	4.88	DeyandSarkar2006
40	4.097909763	12.16	0.1488	8.270256002	4.8	DeyandSarkar2006
40	4.097909763	13.52	0.1488	8.270256002	4.96	DeyandSarkar2006
40	4.097909763	13.856	0.1488	8.270256002	5.28	DeyandSarkar2006
40	3.855176432	9.848	0.1488	7.780380211	4.8	DeyandSarkar2006
40	3.855176432	10.296	0.1488	7.780380211	4.8	DeyandSarkar2006
40	3.855176432	12.976	0.1488	7.780380211	5.12	DeyandSarkar2006
40	3.855176432	12.08	0.1488	7.780380211	4.64	DeyandSarkar2006
40	3.855176432	13.76	0.1488	7.780380211	5.12	DeyandSarkar2006
32	4.097909763	12.08	0.1488	8.270256002	5.12	DeyandSarkar2006
32	4.097909763	9.784	0.1488	8.270256002	4.72	DeyandSarkar2006
32	4.097909763	11.176	0.1488	8.270256002	5.04	DeyandSarkar2006
32	4.097909763	13.544	0.1488	8.270256002	5.44	DeyandSarkar2006
32	4.097909763	13.712	0.1488	8.270256002	5.6	DeyandSarkar2006
32	3.855176432	10.368	0.1488	7.780380211	4.8	DeyandSarkar2006
32	3.855176432	10.608	0.1488	7.780380211	4.4	DeyandSarkar2006
32	3.855176432	12.904	0.1488	7.780380211	5.2	DeyandSarkar2006
32	3.855176432	12.112	0.1488	7.780380211	4.96	DeyandSarkar2006
32	3.855176432	13.496	0.1488	7.780380211	5.44	DeyandSarkar2006
55	4.868950283	12.77	0.08	13.40134459	5.9	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.053333333	10.633198	3.933333333	DeyandSarkar2006
40	4.097909763	11.28	0.064	12.61044557	4.96	DeyandSarkar2006
50	4.757203883	12.27	0.08	13.09377275	6.1	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.053333333	10.633198	5.1	DeyandSarkar2006
32	4.097909763	11.28	0.064	12.61044557	5.52	DeyandSarkar2006
40	4.757203883	12.27	0.08	13.09377275	6.4	DeyandSarkar2006
55	4.868950283	12.77	0.186	8.788948016	3.9	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.124	6.973525967	3.533333333	DeyandSarkar2006
40	4.097909763	11.28	0.1488	8.270256002	4.16	DeyandSarkar2006
50	4.757203883	12.27	0.186	8.587234455	5.9	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.124	6.973525967	3.933333333	DeyandSarkar2006
32	4.097909763	11.28	0.1488	8.270256002	4.96	DeyandSarkar2006
40	4.757203883	12.27	0.186	8.587234455	6	DeyandSarkar2006
55	4.868950283	12.77	0.3	6.920424589	3	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.2	5.490959837	3.4	DeyandSarkar2006
40	4.097909763	11.28	0.24	6.512006088	4.08	DeyandSarkar2006
50	4.757203883	12.27	0.3	6.761595172	3.3	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.2	5.490959837	3.633333333	DeyandSarkar2006
32	4.097909763	11.28	0.24	6.512006088	4.76	DeyandSarkar2006
40	4.757203883	12.27	0.3	6.761595172	3.4	DeyandSarkar2006
60	4.623108203	15.2	0.3	6.570999872	1.2	VermaandGoel2005
60	4.623108203	19.9	0.3	6.570999872	1.3	VermaandGoel2005
60	4.623108203	25.5	0.3	6.570999872	2.2	VermaandGoel2005
60	4.623108203	29.6	0.3	6.570999872	2.8	VermaandGoel2005
30	2.268906296	8.05	0.15	4.560673253	0.6	VermaandGoel2005
30	2.268906296	10.5	0.15	4.560673253	1.05	VermaandGoel2005
30	2.268906296	13	0.15	4.560673253	1.3	VermaandGoel2005
30	2.268906296	15.15	0.15	4.560673253	1.6	VermaandGoel2005
20	1.235036155	6.933333333	0.1	3.040448836	0.5	VermaandGoel2005
20	1.235036155	8.633333333	0.1	3.040448836	0.633333333	VermaandGoel2005
20	1.235036155	10.1	0.1	3.040448836	0.733333333	VermaandGoel2005
44	4.623108203	19.9	0.3	6.570999872	2.1	VermaandGoel2005
44	4.623108203	25.1	0.3	6.570999872	2.6	VermaandGoel2005
44	4.623108203	29.7	0.3	6.570999872	2.9	VermaandGoel2005
